epoch,lr-AdamW,step,train_acc_mean_pos,train_acc_top1,train_acc_top5,train_loss,val_acc_mean_pos,val_acc_top1,val_acc_top5,val_loss
5,,15799,2.34375,0.6875,0.90625,1.0771585702896118,,,,
5,,15849,2.1875,0.71875,0.875,1.1579296588897705,,,,
5,,15899,1.5625,0.8125,0.9375,0.7193448543548584,,,,
5,,15949,1.75,0.78125,0.9375,0.8625072836875916,,,,
5,,15999,1.53125,0.8125,0.9375,0.8756548166275024,,,,
5,,16049,1.3125,0.8125,1.0,0.47104161977767944,,,,
5,,16099,1.375,0.75,1.0,0.7614881992340088,,,,
5,,16149,2.125,0.78125,0.9375,0.8772280216217041,,,,
5,,16199,2.34375,0.84375,0.9375,0.7447695732116699,,,,
5,,16249,1.4375,0.65625,1.0,0.8790165185928345,,,,
5,,16299,1.625,0.8125,0.96875,0.8406040668487549,,,,
5,,16349,2.5,0.625,0.84375,1.5517854690551758,,,,
5,,16399,2.84375,0.625,0.84375,1.3929425477981567,,,,
5,,16449,2.6875,0.59375,0.90625,1.400948405265808,,,,
5,,16499,1.4375,0.71875,1.0,0.6677188873291016,,,,
5,,16549,2.03125,0.59375,0.9375,1.1139248609542847,,,,
5,,16599,1.5,0.84375,0.96875,0.7036958932876587,,,,
5,,16649,1.375,0.78125,1.0,0.8376821279525757,,,,
5,,16699,2.9375,0.53125,0.84375,1.5550761222839355,,,,
5,,16749,2.40625,0.75,0.90625,0.987793505191803,,,,
5,,16799,1.34375,0.84375,0.96875,0.47349169850349426,,,,
5,,16849,1.125,0.9375,1.0,0.2594468295574188,,,,
5,,16899,1.09375,0.9375,1.0,0.37585410475730896,,,,
5,,16949,1.46875,0.8125,1.0,0.7312498092651367,,,,
5,,16999,1.15625,0.9375,1.0,0.3909270167350769,,,,
5,,17049,1.625,0.78125,0.9375,0.6478069424629211,,,,
5,,17099,1.09375,0.9375,1.0,0.33208411931991577,,,,
5,,17149,1.8125,0.71875,0.96875,0.8804861903190613,,,,
5,,17199,1.28125,0.8125,1.0,0.6306538581848145,,,,
5,,17249,2.21875,0.625,0.9375,1.3023594617843628,,,,
5,,17299,2.25,0.78125,0.90625,0.8818137645721436,,,,
5,,17349,1.03125,0.96875,1.0,0.18412727117538452,,,,
5,,17399,1.28125,0.78125,1.0,0.5583149194717407,,,,
5,,17449,1.375,0.875,1.0,0.5880394577980042,,,,
5,,17499,1.78125,0.59375,0.96875,1.086848258972168,,,,
5,,17549,3.40625,0.6875,0.875,1.3291661739349365,,,,
5,,17585,,,,,8.050030708312988,0.06485603749752045,0.32963037490844727,4.2512407302856445
,0.0001792908363781379,17586,,,,,,,,
6,,17599,1.15625,0.90625,1.0,0.3310152292251587,,,,
6,,17649,1.625,0.8125,0.9375,0.8591128587722778,,,,
6,,17699,2.09375,0.78125,0.90625,0.8580902814865112,,,,
6,,17749,1.5625,0.78125,0.96875,0.681426465511322,,,,
6,,17799,2.71875,0.6875,0.84375,1.1262303590774536,,,,
6,,17849,1.6875,0.65625,0.96875,0.9461871385574341,,,,
6,,17899,2.40625,0.78125,0.90625,0.8038707971572876,,,,
6,,17949,1.625,0.9375,0.9375,0.347753643989563,,,,
6,,17999,1.0625,0.9375,1.0,0.336448073387146,,,,
6,,18049,1.8125,0.71875,0.90625,0.9152884483337402,,,,
6,,18099,1.75,0.875,0.9375,0.5201729536056519,,,,
6,,18149,1.53125,0.71875,1.0,0.7753675580024719,,,,
6,,18199,2.4375,0.78125,0.875,0.9830453395843506,,,,
6,,18249,2.53125,0.71875,0.84375,1.0991687774658203,,,,
6,,18299,1.1875,0.8125,1.0,0.3616357743740082,,,,
6,,18349,1.40625,0.875,0.96875,0.47069939970970154,,,,
6,,18399,1.0625,0.9375,1.0,0.24909520149230957,,,,
6,,18449,1.8125,0.6875,0.9375,0.8452713489532471,,,,
6,,18499,1.21875,0.90625,1.0,0.48771801590919495,,,,
6,,18549,1.09375,0.9375,1.0,0.2435145378112793,,,,
6,,18599,1.09375,0.90625,1.0,0.36775678396224976,,,,
6,,18649,1.96875,0.78125,0.96875,0.7652166485786438,,,,
6,,18699,1.40625,0.8125,0.96875,0.5675806999206543,,,,
6,,18749,2.0,0.75,0.90625,0.8764456510543823,,,,
6,,18799,1.78125,0.84375,0.9375,0.7233681082725525,,,,
6,,18849,1.65625,0.78125,0.96875,0.7036554217338562,,,,
6,,18899,1.5,0.71875,0.96875,0.6938943862915039,,,,
6,,18949,2.03125,0.8125,0.90625,0.7486312389373779,,,,
6,,18999,2.21875,0.5625,0.90625,1.3105214834213257,,,,
6,,19049,1.0,1.0,1.0,0.20237693190574646,,,,
6,,19099,1.28125,0.90625,0.96875,0.3953566551208496,,,,
6,,19149,1.9375,0.6875,0.9375,0.8685420751571655,,,,
6,,19199,1.21875,0.9375,0.96875,0.3582128882408142,,,,
6,,19249,1.21875,0.875,1.0,0.4288962483406067,,,,
6,,19299,2.8125,0.71875,0.84375,1.1844366788864136,,,,
6,,19349,1.09375,0.90625,1.0,0.2543966472148895,,,,
6,,19399,2.0,0.75,0.90625,0.7431201338768005,,,,
6,,19449,1.125,0.9375,1.0,0.3559487760066986,,,,
6,,19499,1.75,0.6875,0.9375,0.8260279297828674,,,,
6,,19549,1.8125,0.78125,0.9375,0.7600139379501343,,,,
6,,19599,1.5,0.75,1.0,0.7025793790817261,,,,
6,,19649,1.5625,0.78125,0.96875,0.8122304081916809,,,,
6,,19699,1.375,0.8125,1.0,0.6012503504753113,,,,
6,,19749,1.59375,0.78125,0.9375,0.5665978193283081,,,,
6,,19799,1.71875,0.8125,0.9375,0.6642886400222778,,,,
6,,19849,1.3125,0.8125,0.96875,0.5445957779884338,,,,
6,,19880,,,,,8.02291202545166,0.06485603749752045,0.3296712338924408,4.255537033081055
,0.0001109926131883441,19881,,,,,,,,
7,,19899,1.15625,0.90625,1.0,0.3458300232887268,,,,
7,,19949,1.125,0.90625,1.0,0.4336097836494446,,,,
7,,19999,1.25,0.875,1.0,0.4545406699180603,,,,
7,,20049,1.84375,0.6875,0.96875,0.9132050275802612,,,,
7,,20099,1.65625,0.75,1.0,0.784284234046936,,,,
7,,20149,1.09375,0.96875,1.0,0.3542645275592804,,,,
7,,20199,1.84375,0.75,0.96875,0.7769394516944885,,,,
7,,20249,1.0,1.0,1.0,0.17662402987480164,,,,
7,,20299,1.125,0.90625,1.0,0.3193089962005615,,,,
7,,20349,2.0625,0.6875,0.875,0.971428394317627,,,,
7,,20399,1.625,0.75,0.96875,0.723609209060669,,,,
7,,20449,1.75,0.6875,1.0,0.8082718849182129,,,,
7,,20499,1.90625,0.875,0.9375,0.6299465894699097,,,,
7,,20549,2.15625,0.84375,0.9375,0.7364697456359863,,,,
7,,20599,2.40625,0.6875,0.90625,1.0284909009933472,,,,
7,,20649,1.625,0.90625,0.9375,0.3993555009365082,,,,
7,,20699,2.0625,0.84375,0.90625,0.7756509184837341,,,,
7,,20749,1.9375,0.75,0.90625,0.7603463530540466,,,,
7,,20799,2.0,0.65625,0.9375,1.026632308959961,,,,
7,,20849,1.46875,0.84375,0.9375,0.595246434211731,,,,
7,,20899,1.5625,0.78125,0.96875,0.8836026191711426,,,,
7,,20949,2.3125,0.78125,0.875,1.0162370204925537,,,,
7,,20999,1.0625,0.9375,1.0,0.37814873456954956,,,,
7,,21049,2.0,0.78125,0.9375,0.7181158661842346,,,,
7,,21099,1.375,0.84375,0.96875,0.6255439519882202,,,,
7,,21149,1.0625,0.96875,1.0,0.10966753959655762,,,,
7,,21199,2.4375,0.6875,0.90625,0.9757368564605713,,,,
7,,21249,1.09375,0.9375,1.0,0.35761332511901855,,,,
7,,21299,1.21875,0.84375,1.0,0.5505254864692688,,,,
7,,21349,2.4375,0.625,0.90625,1.3396553993225098,,,,
7,,21399,1.53125,0.75,0.96875,0.667231559753418,,,,
7,,21449,1.3125,0.84375,1.0,0.48806867003440857,,,,
7,,21499,1.03125,0.96875,1.0,0.18586646020412445,,,,
7,,21549,1.375,0.78125,1.0,0.633371889591217,,,,
7,,21599,1.125,0.90625,1.0,0.41260015964508057,,,,
7,,21649,2.03125,0.59375,0.9375,1.309775948524475,,,,
7,,21699,1.34375,0.75,1.0,0.694602370262146,,,,
7,,21749,1.28125,0.90625,1.0,0.45706048607826233,,,,
7,,21799,1.34375,0.90625,0.96875,0.41593030095100403,,,,
7,,21849,1.1875,0.84375,1.0,0.4915075898170471,,,,
7,,21899,1.40625,0.875,1.0,0.4862750768661499,,,,
7,,21949,1.28125,0.8125,1.0,0.44505318999290466,,,,
7,,21999,1.75,0.6875,0.9375,1.039398193359375,,,,
7,,22049,2.09375,0.71875,0.84375,0.9209774732589722,,,,
7,,22099,1.53125,0.875,0.96875,0.5333207845687866,,,,
7,,22149,1.625,0.78125,0.96875,0.71697598695755,,,,
7,,22175,,,,,8.042760848999023,0.06309985369443893,0.3277108371257782,4.25587272644043
,5.67908363781379e-05,22176,,,,,,,,
8,,22199,1.09375,0.9375,1.0,0.23119135200977325,,,,
8,,22249,2.0625,0.625,0.9375,1.2845815420150757,,,,
8,,22299,1.21875,0.875,1.0,0.4729856252670288,,,,
8,,22349,1.59375,0.78125,0.96875,0.6100043058395386,,,,
8,,22399,1.28125,0.875,1.0,0.5601639747619629,,,,
8,,22449,1.0625,0.9375,1.0,0.21371465921401978,,,,
8,,22499,1.40625,0.75,1.0,0.647351086139679,,,,
8,,22549,1.5,0.84375,0.96875,0.5564098358154297,,,,
8,,22599,1.25,0.8125,1.0,0.5090367794036865,,,,
8,,22649,2.21875,0.875,0.9375,0.8560091853141785,,,,
8,,22699,1.09375,0.96875,1.0,0.2580246925354004,,,,
8,,22749,1.3125,0.84375,1.0,0.40899303555488586,,,,
8,,22799,1.4375,0.84375,0.9375,0.49270129203796387,,,,
8,,22849,1.21875,0.78125,1.0,0.5461976528167725,,,,
8,,22899,1.375,0.78125,1.0,0.6200567483901978,,,,
8,,22949,1.25,0.90625,1.0,0.4649338722229004,,,,
8,,22999,1.21875,0.875,1.0,0.4558480978012085,,,,
8,,23049,1.375,0.84375,0.96875,0.6383309960365295,,,,
8,,23099,2.125,0.90625,0.9375,0.5122301578521729,,,,
8,,23149,1.03125,0.96875,1.0,0.21261143684387207,,,,
8,,23199,1.875,0.8125,0.9375,0.6828261613845825,,,,
8,,23249,1.53125,0.71875,0.96875,0.7167015671730042,,,,
8,,23299,1.28125,0.84375,1.0,0.480532169342041,,,,
8,,23349,1.25,0.90625,1.0,0.44739672541618347,,,,
8,,23399,1.78125,0.78125,0.96875,0.8013701438903809,,,,
8,,23449,1.28125,0.78125,1.0,0.4875454604625702,,,,
8,,23499,1.71875,0.8125,0.9375,0.5909925103187561,,,,
8,,23549,1.53125,0.84375,0.96875,0.7267946004867554,,,,
8,,23599,1.59375,0.875,0.96875,0.43228814005851746,,,,
8,,23649,2.6875,0.8125,0.8125,0.9079480171203613,,,,
8,,23699,1.96875,0.75,0.90625,0.7915192246437073,,,,
8,,23749,1.40625,0.84375,0.96875,0.5189954042434692,,,,
8,,23799,1.25,0.9375,0.96875,0.36392998695373535,,,,
8,,23849,1.125,0.90625,1.0,0.20877230167388916,,,,
8,,23899,1.125,0.90625,1.0,0.35607582330703735,,,,
8,,23949,2.15625,0.71875,0.875,0.9717146754264832,,,,
8,,23999,1.5625,0.8125,0.9375,0.7477644681930542,,,,
8,,24049,1.78125,0.71875,0.9375,0.7374251484870911,,,,
8,,24099,2.46875,0.75,0.9375,0.8490480184555054,,,,
8,,24149,1.625,0.78125,0.9375,0.6897071599960327,,,,
8,,24199,1.6875,0.8125,0.96875,0.6335843801498413,,,,
8,,24249,1.3125,0.78125,1.0,0.5747236609458923,,,,
8,,24299,1.1875,0.9375,1.0,0.2887478172779083,,,,
8,,24349,1.34375,0.78125,1.0,0.6030186414718628,,,,
8,,24399,1.65625,0.78125,0.96875,0.7274831533432007,,,,
8,,24449,1.03125,0.96875,1.0,0.1685231477022171,,,,
8,,24470,,,,,8.032754898071289,0.06297733634710312,0.3311006724834442,4.233150005340576
,2.1991153507687383e-05,24471,,,,,,,,
9,,24499,1.40625,0.84375,1.0,0.44604212045669556,,,,
9,,24549,2.0625,0.78125,0.90625,1.0377610921859741,,,,
9,,24599,1.21875,0.8125,1.0,0.580384373664856,,,,
9,,24649,1.65625,0.75,0.96875,0.9791388511657715,,,,
9,,24699,1.34375,0.8125,1.0,0.5702188014984131,,,,
9,,24749,1.46875,0.84375,0.96875,0.5213227868080139,,,,
9,,24799,2.0,0.6875,0.9375,0.9656141400337219,,,,
9,,24849,1.625,0.75,0.9375,0.7649662494659424,,,,
9,,24899,1.15625,0.875,1.0,0.4630607068538666,,,,
9,,24949,1.59375,0.6875,0.96875,0.791267454624176,,,,
9,,24999,1.125,0.9375,1.0,0.2851763963699341,,,,
9,,25049,2.0,0.75,0.9375,0.6601272821426392,,,,
9,,25099,1.5625,0.8125,0.96875,0.5037540197372437,,,,
9,,25149,1.21875,0.84375,1.0,0.4657919108867645,,,,
9,,25199,1.25,0.875,1.0,0.6011021137237549,,,,
9,,25249,2.125,0.71875,0.96875,1.0330419540405273,,,,
9,,25299,1.5625,0.75,1.0,0.6466370224952698,,,,
9,,25349,1.6875,0.78125,0.9375,0.6602770090103149,,,,
9,,25399,1.21875,0.90625,1.0,0.3956734538078308,,,,
9,,25449,1.5625,0.71875,0.96875,0.8651736974716187,,,,
9,,25499,1.4375,0.8125,1.0,0.7170674800872803,,,,
9,,25549,2.0625,0.71875,0.90625,0.9390552043914795,,,,
9,,25599,1.4375,0.78125,1.0,0.5622566342353821,,,,
9,,25649,2.25,0.78125,0.84375,0.8464041352272034,,,,
9,,25699,1.78125,0.65625,0.96875,1.0158765316009521,,,,
9,,25749,2.125,0.6875,0.96875,0.934935450553894,,,,
9,,25799,1.0625,0.96875,1.0,0.15458989143371582,,,,
9,,25849,1.3125,0.875,1.0,0.5364326238632202,,,,
9,,25899,1.625,0.84375,0.96875,0.6268675923347473,,,,
9,,25949,2.90625,0.65625,0.8125,1.6197397708892822,,,,
9,,25999,1.375,0.8125,1.0,0.7693253755569458,,,,
9,,26049,1.75,0.875,0.9375,0.513481616973877,,,,
9,,26099,2.0625,0.75,0.875,1.2451322078704834,,,,
9,,26149,1.40625,0.84375,0.96875,0.559302568435669,,,,
9,,26199,1.0625,0.9375,1.0,0.20169150829315186,,,,
9,,26249,1.375,0.8125,1.0,0.624678373336792,,,,
9,,26299,2.3125,0.6875,0.875,1.165786623954773,,,,
9,,26349,1.0625,0.96875,1.0,0.3113285303115845,,,,
9,,26399,1.4375,0.78125,1.0,0.6686988472938538,,,,
9,,26449,1.3125,0.84375,0.96875,0.4550333023071289,,,,
9,,26499,1.375,0.90625,0.9375,0.4058500826358795,,,,
9,,26549,1.3125,0.9375,0.96875,0.33584460616111755,,,,
9,,26599,1.09375,0.9375,1.0,0.26610875129699707,,,,
9,,26649,1.21875,0.90625,1.0,0.40444475412368774,,,,
9,,26699,1.15625,0.84375,1.0,0.37021878361701965,,,,
9,,26749,1.1875,0.90625,1.0,0.4750356376171112,,,,
9,,26765,,,,,8.032427787780762,0.06342658400535583,0.3288135528564453,4.239272594451904
